Oneohtrix Point Never	Ouroboros	Returnal	2:4:00
Massive Attack	Voodoo In My Blood	Ritual Spirit	4:1:00
Lapalux	Rotted Arp	Rotted Arp	4:9:00
Sun Glitters	When the Train Comes	Scattered into Light	4:22:00
Chromatics	Shadow	Shadow	3:44:00
Nick Cave & The Bad Seeds	Jesus Alone	Skeleton Tree	5:52:00
Nick Cave & The Bad Seeds	Skeleton Tree	Skeleton Tree	4:1:00
clipping.	True Believer	Splendor & Misery	3:44:00
Empress Of	Water Water (Jim Eno Sessions)	Spotify Sessions	3:52:00
Erasers	Haze and Clouds	Stem Together	5:55:00
Porcelain Raft	Drifting In And Out	Strange Weekend	3:14:00
Stephen Bailey	Sub Zero	Sub Zero	3:41:00
Bantum	Take It	Take It	4:8:00
Tkay Maidza	Carry On	TKAY	3:33:00
Boards of Canada	Twoism	Twoism	6:5:00
Salary	40˚ In The Shade	Upside Down Island	4:7:00
Machinedrum	U Still Lie	Vapor City	4:28:00
The Kite String Tangle	Arcadia	Vessel	3:33:00
No Joy	Lunar Phobia	Wait To Pleasure	3:51:00
Apparat	Arcadia	Walls	5:10:00
Warpaint	Love Is to Die	Warpaint	4:51:00
A Tribe Called Quest	Melatonin	We got it from Here... Thank You 4 Your service	4:44:00
Pond	Edge Of The World Pt. 2	The Weather	6:22:00
Heterotic	Rain	Weird Drift	4:2:00
Toro y Moi	Lilly	What For?	4:27:00
Young Fathers	Sirens	White Men Are Black Men Too	3:0:00
Youth Lagoon	Mute	Wondrous Bughouse	5:58:00
Youth Lagoon	Daisyphone	Wondrous Bughouse	5:19:00
Tyler, The Creator	Garden Shed	Flower Boy	3:43:00
Gosh Pith	Waves	Waves	4:4:00
Kevin Drew	Good Sex	Darlings	3:9:00
Puzzle	Soaring	Soaring	3:25:00
Modeselektor	Shipwreck - Radio Edit	Shipwreck	4:26:00
Trim	13th Apostle	1-800 DINOSAUR Presents Trim	3:47:00
Kendrick Lamar	untitled 06 06.30.2014.	untitled unmastered.	3:28:00
Neil Finn	The Climber - Live at the St. James	7 Worlds Collide (Live at the St. James)	4:31:00
Lorde	The Louvre	Melodrama	4:31:00
Mitski	First Love / Late Spring	Bury Me At Makeout Creek	4:38:00
Little Simz	Gratitude	A Curious Tale of Trials + Persons	3:37:00
Volcano Choir	Island, IS	Unmap	4:8:00
Bibio	Dye The Water Green	The Green EP	5:24:00
Jenny Hval	The Great Undressing	Blood Bitch	4:0:00
Mos Def	Fear Not Of Man	Black On Both Sides	4:28:00
Trim	Stretch	1-800 DINOSAUR Presents Trim	3:33:00
Koi Child	Black Panda	Koi Child	2:48:00
Danny Brown	Downward Spiral	Atrocity Exhibition	2:52:00
Young Fathers	WAR	DEAD	2:50:00
Chairlift	I Belong in Your Arms - Japanese Version	Chairlift at 6:15	3:29:00
Eno • Hyde	Daddy's Car	Someday World	4:50:00
Death Grips	Artificial Death In The West	No Love Deep Web	5:59:00
Aphex Twin	Alberto Balsam	...I Care Because You Do	5:10:00
God Colony	Se16 (feat. Flohio)	Where We Were	3:55:00
Danny Brown	Really Doe	Atrocity Exhibition	5:19:00
Small Black	Reconstruction	Real People	4:40:00
Neon Indian	Polish Girl	Era Extraña	4:24:00
Busdriver	Absolutions in the Hottentot Supercluster	Thumbs	4:33:00
De Lux	Oh Man The Future	Generation	6:56:00
Clark	Springtime Linn	Flame Rave	5:54:00
Gravenhurst	Islands	The Ghost In Daylight	8:5:00
Deptford Goth	Life After Defo	Life After Defo	3:43:00
Bright Eyes	Going For The Gold	Oh Holy Fools - The Music Of Son, Ambulance And Bright Eyes	5:7:00
Chaz Bundick Meets The Mattson 2	JBS	Star Stuff	6:42:00
Ken Ikeda	Hydantol	Tzuki (Moon)	5:19:00
Hot Chip	Need You Now	Need You Now	4:45:00
Brian Eno	Driving Me Backwards - 2004 - Remaster	Here Come The Warm Jets	5:12:00
Ruelle	Take It All	Take It All	2:58:00
Desire	Under Your Spell	Under Your Spell	4:56:00
A Tribe Called Quest	Black Spasmodic	We got it from Here... Thank You 4 Your service	3:3:00
Toro y Moi	Mona Lisa	Boo Boo	4:15:00
Lapalux	Phase Violet	Ruinism	5:4:00
Maria Usbeck	Uno De Tus Ojos	Uno De Tus Ojos	4:20:00
Lorn	Negative Jumpsuit	The Maze To Nowhere	3:45:00
James Blake	Choose Me	The Colour In Anything	5:38:00
Idris Ackamoor	Silent Days	We Be All Africans	6:4:00
Keaton Henson	March	Kindly Now	2:19:00
Lorn	Acid Rain	The Maze To Nowhere	2:52:00
Four Tet	Two Thousand and Seventeen	Two Thousand and Seventeen	4:12:00
Lone	From a Past Life	Ambivert Tools, Vol. 1	8:6:00
Four Tet	Parallel Jalebi	Beautiful Rewind	3:53:00
Porches	Car	Pool	2:35:00
Kendrick Lamar	untitled 05 09.21.2014.	untitled unmastered.	5:38:00
Usurper of Modern Medicine	Miley C and the Diamond Tea	Everything Is Nothing	5:7:00
The Go-Betweens	Orpheus Beach	The Friends Of Rachel Worth	4:50:00
Oneohtrix Point Never	Remember	Replica	3:25:00
Wolfgang Tillmans	Device Control	Device Control EP	7:3:00
Ramin Djawadi	Black Hole Sun	Westworld: Season 1 (Music from the HBO® Series)	2:29:00
Brothertiger	High Tide	Out of Touch	6:25:00
The Paradise	In Love With You	In Love With You - Single	4:14:00
ANOHNI	Paradise	Paradise	4:28:00
Vancouver Sleep Clinic	Rebirth	Winter	5:9:00
Twin Shadow	Half Life	Eclipse	3:22:00
The Flaming Lips	Suddenly Everything Has Changed	The Soft Bulletin	3:54:00
Rostam	Gravity Don't Pull Me	Gravity Don't Pull Me	4:2:00
Oneohtrix Point Never	Ezra	Garden of Delete	4:26:00
Karriem Riggins	Double Trouble	Alone Together	1:56:00
Julia Holter	Sea Calls Me Home	Have You In My Wilderness	3:7:00
Weyes Blood	Do You Need My Love	Front Row Seat To Earth	6:25:00
Volcano Choir	Alaskans	Repave	4:55:00
Jaga Jazzist	Oslo Skyline	What We Must (Incl. Bonus - Spydeberg Sessions)	5:32:00
Bright Eyes	Time Code	Digital Ash In A Digital Urn	4:28:00
Clams Casino	Natural	Rainforest	3:53:00
Kate Boy	Higher	One	3:57:00
Paul Simon	The Cool, Cool River	The Rhythm Of The Saints (2011 Remaster)	4:33:00
Deerhunter	Punk (La Vie Antérieure)	Monomania	3:27:00
Erykah Badu	Cel U Lar Device	But You Caint Use My Phone (Mixtape)	6:28:00
Xiu Xiu	Wondering	Forget	4:12:00
letherette	Slamp	Where Have All The People Gone?	3:56:00
Purple	The Deepest Night	Silence & Remorse	4:36:00
Big Black Delta	Money Rain Down	Big Black Delta (Deluxe)	4:31:00
Xiu Xiu	Ceremony	Remixed & Covered	3:46:00
PJ Harvey	The Wheel	The Hope Six Demolition Project	5:38:00
When Saints Go Machine	Infinity Killer	Infinity Pool	4:6:00
Sufjan Stevens	All of Me Wants All of You	Carrie & Lowell	3:41:00
Spoon	Do I Have to Talk You Into It	Hot Thoughts	4:20:00
Here We Go Magic	Over The Ocean	A Different Ship	4:26:00
iamamiwhoami	vista - Live	CONCERT IN BLUE	5:0:00
Bon Iver	666 ʇ	22, A Million	4:12:00
